Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-20,02:15,40.2,25.7,55.9,0.0,NW@9.6,14.2,0.0,0,43.8,39.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,02:30,40.7,25.6,54.6,0.0,NW@9.2,14.2,0.0,0,43.7,40.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,02:45,39.9,25.7,56.4,0.0,NW@7.9,11.7,0.0,0,43.7,39.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,03:00,39.9,25.7,56.7,0.0,NW@8.4,12.4,0.0,0,43.6,39.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,03:15,40.7,25.7,54.9,0.0,NW@9.8,13.9,0.0,0,43.6,40.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,03:30,40.6,25.7,55.0,0.0,NW@9.4,12.8,0.0,0,43.5,40.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,03:45,40.4,25.8,55.5,0.0,NW@9.0,14.2,0.0,0,43.4,40.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,04:00,40.3,25.8,55.9,0.0,NW@7.9,11.4,0.0,0,43.4,39.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,04:15,40.0,25.7,56.4,0.0,NW@7.5,11.0,0.0,0,43.3,39.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,04:30,40.1,25.7,56.0,0.0,NW@8.1,12.1,0.0,0,43.3,39.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,04:45,40.6,25.7,55.1,0.0,NW@7.4,12.4,0.0,0,43.2,40.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,05:00,41.0,25.9,54.5,0.0,NW@7.2,12.1,0.0,0,43.2,40.7,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,05:15,41.5,26.1,54.0,0.0,NW@7.4,12.1,0.0,0,43.1,41.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
